,real,img,mag,time_stamp,tof,rsl,fsl
0,154.0,115.0,192.20041623263984,-4.796875,6.750180590971316,-79.38211804575717,-81.83381364628795
1,-107.0,81.0,134.2013412749664,-3.796875,6.750180590971316,-79.38211804575717,-81.83381364628795
2,32.0,-48.0,57.688820407423826,-2.796875,6.750180590971316,-79.38211804575717,-81.83381364628795
3,-140.0,-199.0,243.31255619059203,-1.796875,6.750180590971316,-79.38211804575717,-81.83381364628795
4,-1011.0,-307.0,1056.5841187525014,-0.796875,6.750180590971316,-79.38211804575717,-81.83381364628795
5,-10732.0,-5927.0,12259.900203509,0.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
6,-16450.0,-11492.0,20066.603200342604,1.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
7,-11395.0,-15267.0,19050.651274956454,2.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
8,7460.0,-261.0,7464.564354334418,3.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
9,10883.0,13584.0,17405.88248265511,4.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
10,-2370.0,6332.0,6761.000221860668,5.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
11,-10197.0,-7724.0,12792.145441637223,6.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
12,-627.0,-6405.0,6435.616054427112,7.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
13,7027.0,768.0,7068.843823426855,8.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
14,2349.0,2302.0,3288.921555768699,9.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
15,-890.0,714.0,1141.0065731624861,10.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
16,154.0,-745.0,760.7502875451313,11.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
17,1772.0,-447.0,1827.5100546919023,12.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
18,1506.0,629.0,1632.0775104142572,13.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
19,46.0,1330.0,1330.7952509683823,14.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
20,-549.0,1028.0,1165.4119443355642,15.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
21,245.0,723.0,763.3832589204455,16.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
22,1018.0,871.0,1339.7630387497634,17.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
23,1226.0,701.0,1412.2595370540078,18.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
24,1333.0,85.0,1335.7073032667,19.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
25,239.0,-258.0,351.6887828748594,20.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
26,-526.0,-123.0,540.1897814657364,21.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
27,-413.0,410.0,581.952747222659,22.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
28,190.0,1699.0,1709.5908867328465,23.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
29,-287.0,1511.0,1538.014954413643,24.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
30,-228.0,564.0,608.3420090705556,25.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
31,34.0,181.0,184.16568627190028,26.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
32,1796.0,503.0,1865.1072355229337,27.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
33,1523.0,184.0,1534.0746396443687,28.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
34,526.0,-116.0,538.6390256934601,29.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
35,78.0,-47.0,91.0659101969557,30.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
36,509.0,-554.0,752.3277211428541,31.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
37,-688.0,-1413.0,1571.5956859192506,32.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
38,-1601.0,-1548.0,2226.9946115785733,33.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
39,-2268.0,-1737.0,2856.745175895113,34.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
40,517.0,-1375.0,1468.9840026358354,35.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
41,1331.0,418.0,1395.0931868516884,36.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
42,-19.0,1184.0,1184.1524395110623,37.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
43,-1269.0,271.0,1297.613964166539,38.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
44,-440.0,892.0,994.6175144245149,39.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
45,192.0,1651.0,1662.1266498074087,40.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
46,454.0,732.0,861.3593907307217,41.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
47,1593.0,755.0,1762.8596087039944,42.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
48,2170.0,957.0,2371.65532908979,43.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
49,934.0,100.0,939.33806480947,44.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
50,906.0,-708.0,1149.826073804208,45.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
51,880.0,-177.0,897.6240861296003,46.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
52,-27.0,858.0,858.4247200541233,47.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
53,-209.0,1457.0,1471.9137202974907,48.203125,6.750180590971316,-79.38211804575717,-81.83381364628795
