,real,img,mag,time_stamp,tof,rsl,fsl
0,174.0,-119.0,210.80085388821365,-4.421875,5.985394964171012,-79.19642102951867,-80.74739446460917
1,-115.0,163.0,199.48433522459854,-3.421875,5.985394964171012,-79.19642102951867,-80.74739446460917
2,-39.0,156.0,160.80111939908875,-2.421875,5.985394964171012,-79.19642102951867,-80.74739446460917
3,-225.0,453.0,505.8003558717609,-1.421875,5.985394964171012,-79.19642102951867,-80.74739446460917
4,-1802.0,3747.0,4157.789436707924,-0.421875,5.985394964171012,-79.19642102951867,-80.74739446460917
5,-5324.0,14610.0,15549.82559387725,0.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
6,-6569.0,16489.0,17749.334691756758,1.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
7,-6230.0,16430.0,17571.505342457145,2.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
8,2151.0,-89.0,2152.840449266968,3.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
9,4460.0,-14268.0,14948.826843602143,4.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
10,-65.0,-4828.0,4828.43753195586,5.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
11,-1792.0,1983.0,2672.742598904728,6.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
12,1972.0,-1038.0,2228.503533764306,7.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
13,3245.0,-3140.0,4515.48723838303,8.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
14,1237.0,-1373.0,1848.0524884320791,9.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
15,817.0,-208.0,843.0616822036214,10.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
16,1537.0,-1398.0,2077.6845285076365,11.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
17,1528.0,-1829.0,2383.280302440315,12.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
18,1212.0,-1786.0,2158.4114528977093,13.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
19,374.0,-477.0,606.1394229053246,14.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
20,-1222.0,857.0,1492.559211555776,15.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
21,-1165.0,-407.0,1234.0478110673023,16.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
22,-619.0,-1133.0,1291.0654514779644,17.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
23,-930.0,-889.0,1286.553924248805,18.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
24,-1239.0,474.0,1326.573405432206,19.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
25,-122.0,767.0,776.6421312290494,20.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
26,587.0,244.0,635.6925357434992,21.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
27,474.0,-681.0,829.7210374577711,22.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
28,-606.0,-1057.0,1218.3944353123088,23.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
29,-943.0,-949.0,1337.8527572195678,24.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
30,65.0,-114.0,131.2288078129189,25.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
31,1040.0,-136.0,1048.8546133759435,26.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
32,2184.0,-2431.0,3267.968329099901,27.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
33,1101.0,-1829.0,2134.8166197591772,28.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
34,309.0,-816.0,872.5462738445451,29.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
35,-289.0,512.0,587.9328192914561,30.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
36,-299.0,699.0,760.2644276828951,31.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
37,-468.0,603.0,763.3040023476884,32.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
38,-450.0,-451.0,637.1036022500579,33.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
39,-20.0,-2118.0,2118.0944266014203,34.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
40,3376.0,-5554.0,6499.560908246033,35.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
41,2146.0,-2001.0,2934.1637650274397,36.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
42,-322.0,1437.0,1472.6347137019418,37.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
43,-1453.0,1793.0,2307.825383342509,38.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
44,942.0,-978.0,1357.8836474455386,39.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
45,2210.0,-1091.0,2464.6259351065833,40.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
46,1099.0,132.0,1106.8988210310822,41.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
47,-597.0,171.0,621.0072463345335,42.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
48,-1373.0,-382.0,1425.1501675262155,43.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
49,-685.0,-909.0,1138.2029695972508,44.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
50,451.0,-1114.0,1201.8306869105982,45.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
51,881.0,-731.0,1144.780328272634,46.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
52,846.0,-407.0,938.8104174965252,47.578125,5.985394964171012,-79.19642102951867,-80.74739446460917
